h3,species_use_log_pred,plausibility
606916319094243327,0.111739,0
606916321241726975,0.156255,0
606916399893315583,0.0135335,0
606916400027533311,0.0142688,0
606916400161751039,0.0137434,0
606916400295968767,0.0124568,0
606916400430186495,0.0126378,0
606916400564404223,0.0180649,0
606916400698621951,0.0128877,0
606916400967057407,0.0180738,0
606916401235492863,0.0183419,0
606916401503928319,0.0131481,0
606916401772363775,0.0134757,0
606916402040799231,0.0153273,0
606916402175016959,0.0126413,0
606916402309234687,0.0121961,0
606916402443452415,0.0103145,0
606916402577670143,0.0145702,0
606916402711887871,0.014057,0
606916402846105599,0.0119377,0
606916403114541055,0.0135045,0
606916403248758783,0.0205588,0
606916403382976511,0.0128795,0
606916403517194239,0.0140492,0
606916403651411967,0.0134456,0
606916403785629695,0.0145918,0
606916403919847423,0.0141596,0
606916404188282879,0.016375,0
606916404322500607,0.0134021,0
606916404456718335,0.0129799,0
606916404590936063,0.0112353,0
606916404725153791,0.0159622,0
606916404859371519,0.0120858,0
606916404993589247,0.0147954,0
606916405262024703,0.0131516,0
606916405396242431,0.0154129,0
606916405530460159,0.0130939,0
606916405664677887,0.0155151,0
606916405798895615,0.0103922,0
606916405933113343,0.0143293,0
606916406067331071,0.0123058,0
606916406335766527,0.0189821,0
606916406469984255,0.0203647,0
606916406604201983,0.0190069,0
606916406738419711,0.0175247,0
606916406872637439,0.0151185,0
606916407006855167,0.0131081,0
606916407141072895,0.0187286,0
606916417073184767,0.0255619,0
606916417207402495,0.0239041,0
606916417341620223,0.014233,0
606916417475837951,0.0151327,0
606916417610055679,0.0285139,0
606916417744273407,0.0209551,0
606916417878491135,0.0261114,0
606916418146926591,0.0224312,0
606916418281144319,0.0212559,0
606916418415362047,0.0282454,0
606916418549579775,0.0327405,0
606916418683797503,0.0117037,0
606916418818015231,0.00880934,0
606916418952232959,0.0200743,0
606916419220668415,0.024651,0
606916419354886143,0.0283541,0
606916419489103871,0.0221164,0
606916419623321599,0.0165178,0
606916419757539327,0.0219681,0
606916419891757055,0.0235264,0
606916420025974783,0.0283347,0
606916420294410239,0.0173488,0
606916420428627967,0.0232659,0
606916420562845695,0.0236496,0
606916420697063423,0.019308,0
606916420831281151,0.0232413,0
606916420965498879,0.0233646,0
606916421099716607,0.0223638,0
606916421368152063,0.0203657,0
606916421502369791,0.0225237,0
606916421636587519,0.0143343,0
606916421770805247,0.0254984,0
606916421905022975,0.0211884,0
606916422039240703,0.0206233,0
606916422173458431,0.0167859,0
606916422441893887,0.0146702,0
606916422576111615,0.0165003,0
606916422710329343,0.0159744,0
606916422844547071,0.0236435,0
606916422978764799,0.0197425,0
606916423112982527,0.0165324,0
606916423247200255,0.0200834,0
606916423515635711,0.0163513,0
606916423649853439,0.0216207,0
606916423784071167,0.0165242,0
606916423918288895,0.0230523,0
606916424052506623,0.0192995,0
606916424186724351,0.0300078,0
606916424320942079,0.011396,0
606916425663119359,0.0397344,0
606916425931554815,0.0301545,0
606916426199990271,0.0311928,0
606916426468425727,0.0462553,0
606916427810603007,0.0268246,0
606916428079038463,0.0298815,0
606916428347473919,0.0243403,0
606916428615909375,0.0255884,0
606916429958086655,0.0117988,0
606916430092304383,0.0241112,0
606916430226522111,0.0244997,0
606916430360739839,0.0264814,0
606916430494957567,0.0152337,0
606916430629175295,0.0144266,0
606916430763393023,0.0148438,0
606916431837134847,0.0130282,0
606916432105570303,0.0198085,0
606916432239788031,0.0239117,0
606916432374005759,0.0260482,0
606916432508223487,0.0243399,0
606916432642441215,0.0309693,0
606916432776658943,0.0330954,0
606916432910876671,0.0265447,0
606916434253053951,0.00942695,0
606916434387271679,0.0146836,0
606916434521489407,0.00850236,0
606916434655707135,0.0127883,0
606916434789924863,0.0128043,0
606916434924142591,0.012203,0
606916435058360319,0.0101105,0
606916435326795775,0.0120709,0
606916435461013503,0.00708851,0
606916435595231231,0.0118139,0
606916435729448959,0.00698061,0
606916435863666687,0.00939467,0
606916435997884415,0.012636,0
606916436132102143,0.0133449,0
606916436400537599,0.0112216,0
606916436534755327,0.0182793,0
606916436668973055,0.0144672,0
606916436803190783,0.0176245,0
606916436937408511,0.0128979,0
606916437071626239,0.020406,0
606916437205843967,0.0273127,0
606916437474279423,0.0258663,0
606916437608497151,0.0112691,0
606916437742714879,0.0158877,0
606916437876932607,0.015228,0
606916438011150335,0.0127622,0
606916438145368063,0.016927,0
606916438279585791,0.0149323,0
606916438548021247,0.00979925,0
606916438682238975,0.0121638,0
606916438816456703,0.0109065,0
606916438950674431,0.00835795,0
606916439084892159,0.0113334,0
606916439219109887,0.0132016,0
606916439353327615,0.0104341,0
606916439621763071,0.0183885,0
606916439755980799,0.0176654,0
606916439890198527,0.0151563,0
606916440024416255,0.0145178,0
606916440158633983,0.0167501,0
606916440292851711,0.0178731,0
606916440427069439,0.0192481,0
606916440695504895,0.00906616,0
606916440829722623,0.00717065,0
606916440963940351,0.00897477,0
606916441098158079,0.0104876,0
606916441232375807,0.00894751,0
606916441366593535,0.00789675,0
606916441500811263,0.0136126,0
606916445258907647,0.0159093,0
606916445795778559,0.0154319,0
606916447137955839,0.00678038,0
606916447406391295,0.0157975,0
606916447540609023,0.00942132,0
606916447674826751,0.0136949,0
606916447943262207,0.0140485,0
606916449285439487,0.00758948,0
606916449419657215,0.0063914,0
606916449553874943,0.00878134,0
606916449688092671,0.0110466,0
606916449822310399,0.00739267,0
606916449956528127,0.00772646,0
606916450090745855,0.00751464,0
606916451432923135,0.0203788,0
606916451567140863,0.0212917,0
606916451701358591,0.0227203,0
606916451835576319,0.0176528,0
606916451969794047,0.018085,0
606916452104011775,0.0154038,0
606916452238229503,0.023093,0
606916452506664959,0.0178927,0
606916452640882687,0.0132251,0
