h3,species_use_log_pred,plausibility
606916319094243327,0.0777722,0
606916321241726975,0.100969,0
606916399893315583,0.0606854,0
606916400027533311,0.0549055,0
606916400161751039,0.0505779,0
606916400295968767,0.0532819,0
606916400430186495,0.0508341,0
606916400564404223,0.0526058,0
606916400698621951,0.0560482,0
606916400967057407,0.0643538,0
606916401235492863,0.0514588,0
606916401503928319,0.0551773,0
606916401772363775,0.0571084,0
606916402040799231,0.0486708,0
606916402175016959,0.0519817,0
606916402309234687,0.0470408,0
606916402443452415,0.0494383,0
606916402577670143,0.0481036,0
606916402711887871,0.0479712,0
606916402846105599,0.0489942,0
606916403114541055,0.0507538,0
606916403248758783,0.0567643,0
606916403382976511,0.0537187,0
606916403517194239,0.0513313,0
606916403651411967,0.0524069,0
606916403785629695,0.0494286,0
606916403919847423,0.0517729,0
606916404188282879,0.0479578,0
606916404322500607,0.0485221,0
606916404456718335,0.0519412,0
606916404590936063,0.0510539,0
606916404725153791,0.0614016,0
606916404859371519,0.0606308,0
606916404993589247,0.0502655,0
606916405262024703,0.0536494,0
606916405396242431,0.0567255,0
606916405530460159,0.0482801,0
606916405664677887,0.0560149,0
606916405798895615,0.0628841,0
606916405933113343,0.0527327,0
606916406067331071,0.0518157,0
606916406335766527,0.0578405,0
606916406469984255,0.0543447,0
606916406604201983,0.0516217,0
606916406738419711,0.0525423,0
606916406872637439,0.0517363,0
606916407006855167,0.0506392,0
606916407141072895,0.0529099,0
606916417073184767,0.029963,0
606916417207402495,0.0304998,0
606916417341620223,0.0242587,0
606916417475837951,0.0238696,0
606916417610055679,0.0328031,0
606916417744273407,0.0310344,0
606916417878491135,0.0313731,0
606916418146926591,0.0377652,0
606916418281144319,0.0386478,0
606916418415362047,0.0336634,0
606916418549579775,0.0318049,0
606916418683797503,0.0415873,0
606916418818015231,0.0438863,0
606916418952232959,0.0338347,0
606916419220668415,0.0328103,0
606916419354886143,0.0315782,0
606916419489103871,0.0326555,0
606916419623321599,0.0298193,0
606916419757539327,0.0312535,0
606916419891757055,0.0343624,0
606916420025974783,0.0296361,0
606916420294410239,0.0340877,0
606916420428627967,0.0338321,0
606916420562845695,0.0306355,0
606916420697063423,0.0308455,0
606916420831281151,0.0294296,0
606916420965498879,0.0298773,0
606916421099716607,0.0313859,0
606916421368152063,0.0372415,0
606916421502369791,0.0389211,0
606916421636587519,0.0324991,0
606916421770805247,0.0319591,0
606916421905022975,0.0449743,0
606916422039240703,0.0433956,0
606916422173458431,0.0389494,0
606916422441893887,0.0436149,0
606916422576111615,0.0451055,0
606916422710329343,0.0383698,0
606916422844547071,0.0379354,0
606916422978764799,0.0473908,0
606916423112982527,0.0493157,0
606916423247200255,0.0450723,0
606916423515635711,0.0258997,0
606916423649853439,0.0259365,0
606916423784071167,0.0327893,0
606916423918288895,0.0296534,0
606916424052506623,0.0328307,0
606916424186724351,0.0313358,0
606916424320942079,0.0262354,0
606916425663119359,0.0391074,0
606916425931554815,0.0379954,0
606916426199990271,0.0425552,0
606916426468425727,0.0375978,0
606916427810603007,0.0366671,0
606916428079038463,0.0407639,0
606916428347473919,0.0360137,0
606916428615909375,0.0368559,0
606916429958086655,0.0482094,0
606916430092304383,0.0436789,0
606916430226522111,0.0424349,0
606916430360739839,0.0408543,0
606916430494957567,0.0511522,0
606916430629175295,0.0497706,0
606916430763393023,0.0494308,0
606916431837134847,0.0476379,0
606916432105570303,0.032889,0
606916432239788031,0.0342288,0
606916432374005759,0.0357158,0
606916432508223487,0.0350433,0
606916432642441215,0.0365917,0
606916432776658943,0.0361396,0
606916432910876671,0.0357154,0
606916434253053951,0.0603582,0
606916434387271679,0.0617644,0
606916434521489407,0.0693759,0
606916434655707135,0.0690679,0
606916434789924863,0.0658342,0
606916434924142591,0.0641081,0
606916435058360319,0.065021,0
606916435326795775,0.0587769,0
606916435461013503,0.0638205,0
606916435595231231,0.0556426,0
606916435729448959,0.0537207,0
606916435863666687,0.0598663,0
606916435997884415,0.0628974,0
606916436132102143,0.0626921,0
606916436400537599,0.0644907,0
606916436534755327,0.0735297,0
606916436668973055,0.066089,0
606916436803190783,0.0765288,0
606916436937408511,0.0705346,0
606916437071626239,0.101098,0
606916437205843967,0.105915,0
606916437474279423,0.0974115,0
606916437608497151,0.0536227,0
606916437742714879,0.069131,0
606916437876932607,0.0687706,0
606916438011150335,0.0649453,0
606916438145368063,0.0597974,0
606916438279585791,0.0653081,0
606916438548021247,0.0607622,0
606916438682238975,0.0558492,0
606916438816456703,0.0581546,0
606916438950674431,0.0664617,0
606916439084892159,0.0602757,0
606916439219109887,0.0601288,0
606916439353327615,0.0551637,0
606916439621763071,0.0571311,0
606916439755980799,0.0562058,0
606916439890198527,0.0593607,0
606916440024416255,0.0571555,0
606916440158633983,0.0588138,0
606916440292851711,0.0593568,0
606916440427069439,0.0592632,0
606916440695504895,0.0668876,0
606916440829722623,0.0670046,0
606916440963940351,0.0652735,0
606916441098158079,0.0713546,0
606916441232375807,0.0683506,0
606916441366593535,0.0649267,0
606916441500811263,0.0688413,0
606916445258907647,0.0484641,0
606916445795778559,0.0478681,0
606916447137955839,0.0573672,0
606916447406391295,0.0714027,0
606916447540609023,0.0567804,0
606916447674826751,0.0613079,0
606916447943262207,0.0599777,0
606916449285439487,0.0510112,0
606916449419657215,0.0514345,0
606916449553874943,0.0534226,0
606916449688092671,0.0518657,0
606916449822310399,0.0609477,0
606916449956528127,0.0524502,0
606916450090745855,0.0526414,0
606916451432923135,0.0468227,0
606916451567140863,0.0446436,0
606916451701358591,0.0420721,0
606916451835576319,0.0471522,0
606916451969794047,0.056973,0
606916452104011775,0.0529016,0
606916452238229503,0.040403,0
606916452506664959,0.0478787,0
606916452640882687,0.056068,0
606916452775100415,0.0486075,0
606916452909318143,0.045579,0
606916453043535871,0.0581486,0
606916453177753599,0.0561791,0
606916453311971327,0.0447774,0
606916453580406783,0.0412331,0
606916453714624511,0.0470981,0
606916453848842239,0.041492,0
606916453983059967,0.0446892,0
606916454117277695,0.0423084,0
606916454251495423,0.0483343,0
606916454385713151,0.0457659,0
606916454654148607,0.049562,0
606916454788366335,0.0512873,0
606916454922584063,0.0452793,0
606916455056801791,0.0450128,0
606916455191019519,0.0437142,0
606916455325237247,0.0459766,0
606916455459454975,0.0504867,0
606916455727890431,0.0584545,0
606916455862108159,0.0534324,0
606916455996325887,0.0505217,0
606916456130543615,0.0650097,0
606916456264761343,0.0652354,0
606916456398979071,0.0665994,0
606916456533196799,0.0643102,0
606916456801632255,0.060037,0
606916456935849983,0.0666983,0
606916457070067711,0.0513306,0
606916457204285439,0.0582059,0
606916457338503167,0.078126,0
606916457472720895,0.0733332,0
606916457606938623,0.0582961,0
606916457875374079,0.0421407,0
606916458009591807,0.0422876,0
606916458143809535,0.0406919,0
606916458278027263,0.0423479,0
606916458412244991,0.0389334,0
606916458546462719,0.0486908,0
606916458680680447,0.041459,0
606916537332269055,0.0469574,0
606916537466486783,0.0471846,0
606916537600704511,0.0470219,0
606916537734922239,0.0470094,0
606916537869139967,0.0490915,0
606916538003357695,0.0454773,0
606916538137575423,0.047217,0
606916538406010879,0.0381063,0
606916538540228607,0.0529091,0
606916538674446335,0.0477256,0
606916538808664063,0.0518967,0
606916538942881791,0.0348512,0
606916539077099519,0.0397296,0
606916539211317247,0.0422334,0
606916539479752703,0.0601463,0
606916539613970431,0.0699059,0
606916539748188159,0.0597121,0
606916539882405887,0.0620105,0
606916540016623615,0.0566248,0
606916540150841343,0.0510098,0
606916540285059071,0.0718196,0
606916540553494527,0.0574559,0
606916540687712255,0.0556101,0
606916540821929983,0.0668475,0
606916540956147711,0.0729435,0
606916541090365439,0.0512655,0
606916541224583167,0.049951,0
606916541358800895,0.0467846,0
606916541627236351,0.0329007,0
606916541761454079,0.0357241,0
606916541895671807,0.0437213,0
606916542029889535,0.0507483,0
606916542164107263,0.0342282,0
606916542298324991,0.0328025,0
606916542432542719,0.0359848,0
606916542700978175,0.0353825,0
606916542835195903,0.0388583,0
606916542969413631,0.0333776,0
606916543103631359,0.0327499,0
606916543237849087,0.0389457,0
606916543372066815,0.0334288,0
606916543506284543,0.0319916,0
606916543774719999,0.047862,0
606916543908937727,0.0523858,0
606916544043155455,0.0602593,0
606916544177373183,0.0542053,0
606916544311590911,0.047808,0
606916544445808639,0.0437042,0
606916544580026367,0.0489097,0
606916550217170943,0.0396484,0
606916550485606399,0.0349861,0
606916550619824127,0.0385661,0
606916550754041855,0.0365552,0
606916550888259583,0.0338924,0
606916551022477311,0.0405938,0
606916552364654591,0.0476272,0
606916552633090047,0.0509279,0
606916552767307775,0.0508771,0
606916552901525503,0.0472877,0
606916553035743231,0.047263,0
606916553169960959,0.0484253,0
606916554512138239,0.0720245,0
606916554646355967,0.0662734,0
606916554780573695,0.0719533,0
606916554914791423,0.0688429,0
606916555049009151,0.0672591,0
606916555183226879,0.0658075,0
606916555317444607,0.0707386,0
606916555585880063,0.0578605,0
606916555720097791,0.0627317,0
606916555854315519,0.0688822,0
606916555988533247,0.0681371,0
606916556122750975,0.0559581,0
606916556256968703,0.0592579,0
606916556391186431,0.0587033,0
606916556659621887,0.0770264,0
606916556793839615,0.0759807,0
606916556928057343,0.0848222,0
606916557062275071,0.0807654,0
606916557196492799,0.0666866,0
606916557330710527,0.0604488,0
606916557464928255,0.0780538,0
606916557733363711,0.0631817,0
606916557867581439,0.0648942,0
606916558001799167,0.0743358,0
606916558136016895,0.0748352,0
606916558270234623,0.0705756,0
606916558404452351,0.0652061,0
606916558538670079,0.0652021,0
606916558807105535,0.0636119,0
606916558941323263,0.0659012,0
606916559075540991,0.0643627,0
606916559209758719,0.0685709,0
606916559343976447,0.0626111,0
606916559478194175,0.0647549,0
606916559612411903,0.0622419,0
606916559880847359,0.0625147,0
606916560015065087,0.0680631,0
606916560149282815,0.0645603,0
606916560283500543,0.057557,0
606916560417718271,0.0602349,0
606916560551935999,0.0576236,0
606916560686153727,0.0619287,0
606916560954589183,0.0688283,0
606916561088806911,0.0688228,0
606916561223024639,0.0656195,0
606916561357242367,0.0697818,0
606916561491460095,0.0695034,0
606916561625677823,0.0682156,0
606916561759895551,0.0716729,0
606916563102072831,0.0634646,0
606916563236290559,0.0632651,0
606916563370508287,0.0673565,0
606916563504726015,0.0711784,0
606916563638943743,0.0577475,0
606916563773161471,0.0594082,0
606916563907379199,0.0664396,0
606916565249556479,0.0627094,0
606916565383774207,0.0678231,0
606916565517991935,0.0691448,0
606916565652209663,0.0731602,0
606916565786427391,0.0693611,0
606916565920645119,0.0688551,0
606916566054862847,0.0660511,0
606916567128604671,0.0727905,0
606916567397040127,0.0630115,0
606916567531257855,0.0699936,0
606916567665475583,0.0603397,0
606916567799693311,0.0602883,0
606916567933911039,0.0694427,0
606916568068128767,0.0663307,0
606916568202346495,0.0687132,0
606916568470781951,0.0661443,0
606916568604999679,0.0636995,0
606916568739217407,0.0746125,0
606916568873435135,0.0721299,0
606916569007652863,0.0606919,0
606916569141870591,0.0515517,0
606916569276088319,0.0679999,0
606916569544523775,0.0660975,0
606916569678741503,0.0701565,0
606916569812959231,0.062679,0
606916569947176959,0.0631804,0
606916570081394687,0.0678659,0
606916570215612415,0.0666567,0
606916570349830143,0.063359,0
606916571692007423,0.0322102,0
606916571826225151,0.0308095,0
606916571960442879,0.033511,0
606916572094660607,0.0320933,0
606916572228878335,0.0290413,0
606916572363096063,0.0262187,0
606916572497313791,0.0352277,0
606916572765749247,0.023584,0
606916572899966975,0.0255098,0
606916573034184703,0.0292482,0
606916573168402431,0.0327048,0
606916573302620159,0.025391,0
606916573436837887,0.0307681,0
606916573571055615,0.028787,0
606916573839491071,0.0338183,0
606916573973708799,0.0365572,0
606916574107926527,0.0390089,0
606916574242144255,0.0387173,0
606916574376361983,0.0349143,0
606916574510579711,0.0308914,0
606916574644797439,0.0368183,0
606916574913232895,0.0304264,0
606916575047450623,0.0334097,0
606916575181668351,0.033832,0
606916575315886079,0.0591309,0
606916575450103807,0.0313792,0
606916575584321535,0.0352595,0
606916575718539263,0.0306392,0
606916575986974719,0.030398,0
