h3,species_use_log_pred,plausibility
606916319094243327,0.0776678,0
606916321241726975,0.0697469,0
606916399893315583,0.0175347,0
606916400027533311,0.0181087,0
606916400161751039,0.0191542,0
606916400295968767,0.0182377,0
606916400430186495,0.0173036,0
606916400564404223,0.0171391,0
606916400698621951,0.0198414,0
606916400967057407,0.0228832,0
606916401235492863,0.0186404,0
606916401503928319,0.0234063,0
606916401772363775,0.0162452,0
606916402040799231,0.0228096,0
606916402175016959,0.0206251,0
606916402309234687,0.0210929,0
606916402443452415,0.0206239,0
606916402577670143,0.019456,0
606916402711887871,0.022215,0
606916402846105599,0.0206506,0
606916403114541055,0.0197498,0
606916403248758783,0.0292147,0
606916403382976511,0.0195281,0
606916403517194239,0.0208342,0
606916403651411967,0.017784,0
606916403785629695,0.0206756,0
606916403919847423,0.0200426,0
606916404188282879,0.0207005,0
606916404322500607,0.0195029,0
606916404456718335,0.0217072,0
606916404590936063,0.0168427,0
606916404725153791,0.0226985,0
606916404859371519,0.0225442,0
606916404993589247,0.0218034,0
606916405262024703,0.0182461,0
606916405396242431,0.023407,0
606916405530460159,0.0172543,0
606916405664677887,0.0182743,0
606916405798895615,0.0200821,0
606916405933113343,0.0189758,0
606916406067331071,0.0209442,0
606916406335766527,0.0234905,0
606916406469984255,0.0211377,0
606916406604201983,0.0246127,0
606916406738419711,0.0229391,0
606916406872637439,0.022085,0
606916407006855167,0.0214428,0
606916407141072895,0.0248068,0
606916417073184767,0.023569,0
606916417207402495,0.0193403,0
606916417341620223,0.0217428,0
606916417475837951,0.0204783,0
606916417610055679,0.0225518,0
606916417744273407,0.020177,0
606916417878491135,0.0241835,0
606916418146926591,0.0206132,0
606916418281144319,0.0209763,0
606916418415362047,0.0203161,0
606916418549579775,0.0192756,0
606916418683797503,0.0201403,0
606916418818015231,0.01964,0
606916418952232959,0.0200931,0
606916419220668415,0.023077,0
606916419354886143,0.0219071,0
606916419489103871,0.0277317,0
606916419623321599,0.0224452,0
606916419757539327,0.0231523,0
606916419891757055,0.0218226,0
606916420025974783,0.0236126,0
606916420294410239,0.0186052,0
606916420428627967,0.0190744,0
606916420562845695,0.0183303,0
606916420697063423,0.0182412,0
606916420831281151,0.0192194,0
606916420965498879,0.0200452,0
606916421099716607,0.0184946,0
606916421368152063,0.0222169,0
606916421502369791,0.019827,0
606916421636587519,0.0236813,0
606916421770805247,0.0216341,0
606916421905022975,0.0230891,0
606916422039240703,0.0225065,0
606916422173458431,0.0226484,0
606916422441893887,0.0199075,0
606916422576111615,0.0190571,0
606916422710329343,0.0211534,0
606916422844547071,0.0200103,0
606916422978764799,0.0239517,0
606916423112982527,0.0202982,0
606916423247200255,0.0230261,0
606916423515635711,0.0228734,0
606916423649853439,0.0193416,0
606916423784071167,0.0245371,0
606916423918288895,0.0239425,0
606916424052506623,0.0267217,0
606916424186724351,0.0261632,0
606916424320942079,0.0287245,0
606916425663119359,0.0150875,0
606916425931554815,0.0178062,0
606916426199990271,0.0175627,0
606916426468425727,0.0138246,0
606916427810603007,0.0156093,0
606916428079038463,0.0173558,0
606916428347473919,0.0170673,0
606916428615909375,0.0178091,0
606916429958086655,0.018336,0
606916430092304383,0.0200279,0
606916430226522111,0.0202601,0
606916430360739839,0.0174228,0
606916430494957567,0.0214955,0
606916430629175295,0.0212267,0
606916430763393023,0.0210296,0
606916431837134847,0.0219677,0
606916432105570303,0.0194412,0
606916432239788031,0.0181361,0
606916432374005759,0.0191858,0
606916432508223487,0.0185938,0
606916432642441215,0.0170291,0
606916432776658943,0.0158994,0
606916432910876671,0.0189957,0
606916434253053951,0.0210436,0
606916434387271679,0.0193961,0
606916434521489407,0.0230545,0
606916434655707135,0.0274685,0
606916434789924863,0.017482,0
606916434924142591,0.0213654,0
606916435058360319,0.0217242,0
606916435326795775,0.0208308,0
606916435461013503,0.0181913,0
606916435595231231,0.0191865,0
606916435729448959,0.0189672,0
606916435863666687,0.0217242,0
606916435997884415,0.0211713,0
606916436132102143,0.0210845,0
606916436400537599,0.0210816,0
606916436534755327,0.0277136,0
606916436668973055,0.0267636,0
606916436803190783,0.0299961,0
606916436937408511,0.0253767,0
606916437071626239,0.0416264,0
606916437205843967,0.0341732,0
606916437474279423,0.0340438,0
606916437608497151,0.0197404,0
606916437742714879,0.0264004,0
606916437876932607,0.0277287,0
606916438011150335,0.0233695,0
606916438145368063,0.0254976,0
606916438279585791,0.0228169,0
606916438548021247,0.0256218,0
606916438682238975,0.014947,0
606916438816456703,0.0174167,0
606916438950674431,0.0188358,0
606916439084892159,0.02663,0
606916439219109887,0.0280046,0
606916439353327615,0.0178989,0
606916439621763071,0.028071,0
606916439755980799,0.0308661,0
606916439890198527,0.0156633,0
606916440024416255,0.0207707,0
606916440158633983,0.0277946,0
606916440292851711,0.0273103,0
606916440427069439,0.0253822,0
606916440695504895,0.0165507,0
606916440829722623,0.0205612,0
606916440963940351,0.0238542,0
606916441098158079,0.021666,0
606916441232375807,0.0208858,0
606916441366593535,0.0191457,0
606916441500811263,0.0198298,0
606916445258907647,0.0188228,0
606916445795778559,0.0169631,0
606916447137955839,0.0179183,0
606916447406391295,0.0252982,0
606916447540609023,0.0156726,0
606916447674826751,0.0273057,0
606916447943262207,0.0167147,0
606916449285439487,0.0191271,0
606916449419657215,0.0161307,0
606916449553874943,0.0194605,0
606916449688092671,0.0176091,0
606916449822310399,0.0187011,0
606916449956528127,0.0172215,0
606916450090745855,0.0198885,0
606916451432923135,0.0214391,0
606916451567140863,0.0219892,0
606916451701358591,0.0222963,0
606916451835576319,0.0233376,0
606916451969794047,0.0232653,0
606916452104011775,0.020599,0
606916452238229503,0.0215902,0
606916452506664959,0.0228648,0
606916452640882687,0.0208119,0
606916452775100415,0.0230713,0
606916452909318143,0.0237,0
606916453043535871,0.0223134,0
606916453177753599,0.0224522,0
606916453311971327,0.0219333,0
606916453580406783,0.0244474,0
606916453714624511,0.0244953,0
606916453848842239,0.0244552,0
606916453983059967,0.0252049,0
606916454117277695,0.022809,0
606916454251495423,0.0239912,0
606916454385713151,0.0220683,0
606916454654148607,0.0235571,0
606916454788366335,0.0238095,0
606916454922584063,0.0220914,0
606916455056801791,0.0221082,0
606916455191019519,0.0227745,0
606916455325237247,0.0234131,0
606916455459454975,0.0233261,0
606916455727890431,0.018736,0
606916455862108159,0.0202504,0
606916455996325887,0.0196638,0
606916456130543615,0.0253832,0
606916456264761343,0.0228781,0
606916456398979071,0.0191007,0
606916456533196799,0.021322,0
606916456801632255,0.0217122,0
606916456935849983,0.0248804,0
606916457070067711,0.0210579,0
606916457204285439,0.0206986,0
606916457338503167,0.027963,0
606916457472720895,0.0302146,0
606916457606938623,0.0181216,0
606916457875374079,0.0234198,0
606916458009591807,0.0222101,0
606916458143809535,0.0230259,0
