h3,species_use_log_pred,plausibility
606916319094243327,0.736826,0.202761
606916321241726975,0.719871,0.316929
606916399893315583,1.20918,0.772986
606916400027533311,1.29854,0.661194
606916400161751039,1.14535,0.742837
606916400295968767,1.22808,0.740011
606916400430186495,1.24156,0.726844
606916400564404223,1.30978,0.700051
606916400698621951,1.18554,0.75301
606916400967057407,1.3867,0.55066
606916401235492863,1.40899,0.557807
606916401503928319,1.37728,0.588998
606916401772363775,1.33795,0.625242
606916402040799231,1.18167,0.808574
606916402175016959,1.14531,0.820504
606916402309234687,1.25469,0.808074
606916402443452415,1.25397,0.833109
606916402577670143,1.13074,0.78127
606916402711887871,1.07959,0.753305
606916402846105599,1.20118,0.797207
606916403114541055,1.31008,0.656957
606916403248758783,1.30708,0.586001
606916403382976511,1.26595,0.755239
606916403517194239,1.35724,0.71471
606916403651411967,1.24758,0.652427
606916403785629695,1.31911,0.574246
606916403919847423,1.21592,0.743574
606916404188282879,1.19459,0.790632
606916404322500607,1.24871,0.761993
606916404456718335,1.16205,0.80035
606916404590936063,1.20161,0.779363
606916404725153791,1.22465,0.781716
606916404859371519,1.21384,0.774534
606916404993589247,1.2237,0.778381
606916405262024703,1.30576,0.649817
606916405396242431,1.36887,0.611838
606916405530460159,1.29671,0.738183
606916405664677887,1.25893,0.656851
606916405798895615,1.41598,0.637099
606916405933113343,1.42663,0.584472
606916406067331071,1.36433,0.746454
606916406335766527,1.14987,0.817084
606916406469984255,1.10956,0.780244
606916406604201983,1.18527,0.771835
606916406738419711,1.14983,0.816511
606916406872637439,1.18788,0.816203
606916407006855167,1.1657,0.804939
606916407141072895,1.15424,0.813229
606916417073184767,1.64233,0.811868
606916417207402495,1.68363,0.828849
606916417341620223,1.33779,0.814932
606916417475837951,1.38761,0.846325
606916417610055679,1.56573,0.790538
606916417744273407,1.66066,0.752628
606916417878491135,1.45061,0.809435
606916418146926591,1.48221,0.799502
606916418281144319,1.38395,0.803957
606916418415362047,1.57923,0.832285
606916418549579775,1.55614,0.821909
606916418683797503,1.41275,0.800616
606916418818015231,1.35106,0.827508
606916418952232959,1.63766,0.795472
606916419220668415,1.16475,0.672134
606916419354886143,1.20925,0.756
606916419489103871,1.10175,0.545779
606916419623321599,1.15563,0.717192
606916419757539327,1.23479,0.728705
606916419891757055,1.25009,0.75656
606916420025974783,1.23057,0.707292
606916420294410239,1.41222,0.807016
606916420428627967,1.4014,0.780621
606916420562845695,1.3144,0.713352
606916420697063423,1.28194,0.742565
606916420831281151,1.42977,0.781869
606916420965498879,1.4496,0.803786
606916421099716607,1.34532,0.815858
606916421368152063,1.38039,0.833624
606916421502369791,1.45053,0.80974
606916421636587519,1.29696,0.828437
606916421770805247,1.39893,0.826689
606916421905022975,1.27988,0.823297
606916422039240703,1.30862,0.806003
606916422173458431,1.32755,0.843189
606916422441893887,1.29785,0.731147
606916422576111615,1.31557,0.791515
606916422710329343,1.4854,0.734622
606916422844547071,1.55295,0.78391
606916422978764799,1.14181,0.766743
606916423112982527,1.2397,0.789007
606916423247200255,1.22185,0.770006
606916423515635711,1.31199,0.746043
606916423649853439,1.30101,0.779539
606916423784071167,1.18584,0.73523
606916423918288895,1.20364,0.744838
606916424052506623,1.38051,0.786243
606916424186724351,1.33846,0.80283
606916424320942079,1.24879,0.73064
606916425663119359,1.64936,0.619871
606916425931554815,1.4558,0.671196
606916426199990271,1.65065,0.706527
606916426468425727,1.56555,0.647601
606916427810603007,1.33792,0.594802
606916428079038463,1.3378,0.632018
606916428347473919,1.42998,0.564559
606916428615909375,1.34711,0.538783
606916429958086655,1.45977,0.814631
606916430092304383,1.57971,0.709971
606916430226522111,1.45538,0.785697
606916430360739839,1.50375,0.773685
606916430494957567,1.26872,0.799007
606916430629175295,1.3819,0.767959
606916430763393023,1.4062,0.828019
606916431837134847,1.40972,0.649341
606916432105570303,1.48908,0.701618
606916432239788031,1.48782,0.638639
606916432374005759,1.37364,0.703901
606916432508223487,1.39081,0.618784
606916432642441215,1.55149,0.758208
606916432776658943,1.55099,0.675231
606916432910876671,1.49696,0.740658
606916434253053951,1.26715,0.634305
606916434387271679,1.27507,0.662084
606916434521489407,1.29577,0.647873
606916434655707135,1.27203,0.627292
606916434789924863,1.24226,0.580554
606916434924142591,1.26519,0.609064
606916435058360319,1.25721,0.633731
606916435326795775,1.27091,0.550247
606916435461013503,1.27729,0.484244
606916435595231231,1.28341,0.667583
606916435729448959,1.35007,0.574587
606916435863666687,1.27274,0.476881
606916435997884415,1.20677,0.289613
606916436132102143,1.27502,0.650056
606916436400537599,1.3674,0.657251
606916436534755327,1.28142,0.612278
606916436668973055,1.41353,0.659465
606916436803190783,1.2742,0.597026
606916436937408511,1.41906,0.694139
606916437071626239,1.32264,0.367564
606916437205843967,1.44618,0.322971
606916437474279423,1.37275,0.413156
606916437608497151,1.49607,0.662116
606916437742714879,1.25345,0.709229
606916437876932607,1.38984,0.738432
606916438011150335,1.31002,0.675128
606916438145368063,1.38251,0.635953
606916438279585791,1.31929,0.661807
606916438548021247,1.16271,0.541631
606916438682238975,1.15256,0.468735
606916438816456703,1.20537,0.595993
606916438950674431,1.21116,0.569682
606916439084892159,1.14585,0.55478
606916439219109887,1.14993,0.442141
606916439353327615,1.17185,0.569113
606916439621763071,1.22519,0.332232
606916439755980799,1.22597,0.270882
606916439890198527,1.23746,0.359436
606916440024416255,1.20895,0.561909
606916440158633983,1.17854,0.44681
606916440292851711,1.21531,0.384748
606916440427069439,1.1961,0.309101
606916440695504895,1.35368,0.745315
606916440829722623,1.37178,0.702378
606916440963940351,1.45933,0.699908
606916441098158079,1.45246,0.752443
606916441232375807,1.19114,0.705453
606916441366593535,1.28018,0.671395
606916441500811263,1.28951,0.720483
606916445258907647,1.41216,0.538559
606916445795778559,1.46925,0.533951
606916447137955839,1.38694,0.287908
606916447406391295,1.3486,0.389795
606916447540609023,1.43139,0.426544
606916447674826751,1.30719,0.119164
606916447943262207,1.28462,0.260143
606916449285439487,1.48103,0.585199
606916449419657215,1.46239,0.551685
606916449553874943,1.46417,0.617085
606916449688092671,1.50825,0.56401
606916449822310399,1.31965,0.562998
606916449956528127,1.37185,0.558042
606916450090745855,1.39839,0.647609
606916451432923135,1.297,0.745331
606916451567140863,1.24215,0.768556
606916451701358591,1.27694,0.785431
606916451835576319,1.2799,0.789124
606916451969794047,1.3149,0.672067
606916452104011775,1.28302,0.796129
606916452238229503,1.30371,0.767679
606916452506664959,1.21216,0.80229
606916452640882687,1.20509,0.798996
606916452775100415,1.18591,0.756183
606916452909318143,1.18168,0.809622
606916453043535871,1.33732,0.736197
606916453177753599,1.25228,0.748429
606916453311971327,1.26574,0.773714
606916453580406783,1.33566,0.811466
606916453714624511,1.26482,0.822629
606916453848842239,1.26343,0.816867
606916453983059967,1.3089,0.830279
606916454117277695,1.23575,0.815653
606916454251495423,1.27244,0.81059
606916454385713151,1.27813,0.813195
606916454654148607,1.22431,0.789005
606916454788366335,1.20667,0.808962
606916454922584063,1.19514,0.794641
606916455056801791,1.18052,0.778556
606916455191019519,1.26335,0.766329
606916455325237247,1.18607,0.797482
606916455459454975,1.2175,0.792751
606916455727890431,1.40783,0.747672
606916455862108159,1.45116,0.747066
606916455996325887,1.34651,0.655103
606916456130543615,1.34577,0.666931
606916456264761343,1.40564,0.754393
606916456398979071,1.41105,0.770804
606916456533196799,1.37783,0.701511
606916456801632255,1.43914,0.755001
606916456935849983,1.44915,0.70653
606916457070067711,1.3592,0.772898
606916457204285439,1.3966,0.761387
606916457338503167,1.48416,0.733359
606916457472720895,1.42999,0.680799
606916457606938623,1.43697,0.76571
606916457875374079,1.23627,0.792321
606916458009591807,1.23931,0.795935
606916458143809535,1.24325,0.813067
606916458278027263,1.23543,0.809255
606916458412244991,1.32031,0.716703
606916458546462719,1.28583,0.709483
606916458680680447,1.27037,0.765814
606916537332269055,0.875257,0.0647029
606916537466486783,0.870759,0.0865735
606916537600704511,0.802026,0.106043
606916537734922239,0.804736,0.0734569
606916537869139967,0.935553,0.338893
606916538003357695,0.92606,0.239652
606916538137575423,0.833828,0.103988
606916538406010879,0.90461,0.400681
606916538540228607,0.892532,0.421941
606916538674446335,0.841227,0.0779431
606916538808664063,0.843235,0.220882
606916538942881791,0.95171,0.514596
606916539077099519,0.979711,0.536965
606916539211317247,0.890016,0.297857
606916539479752703,0.776069,0.152557
606916539613970431,0.754831,0.0815927
606916539748188159,0.696447,0.190877
606916539882405887,0.718212,0.117657
606916540016623615,0.804135,0.136467
606916540150841343,0.777254,0.123087
606916540285059071,0.765646,0.173099
606916540553494527,0.768357,0.0506735
606916540687712255,0.754623,0.0466854
606916540821929983,0.757505,0.0348014
606916540956147711,0.731718,0.0317661
606916541090365439,0.79566,0.0588973
606916541224583167,0.809105,0.0595093
606916541358800895,0.788906,0.074393
606916541627236351,0.939423,0.501923
606916541761454079,0.960518,0.568833
606916541895671807,0.882857,0.300191
606916542029889535,0.900898,0.376199
606916542164107263,1.02375,0.571235
606916542298324991,0.971561,0.677927
606916542432542719,0.919143,0.508631
606916542700978175,1.01678,0.541728
606916542835195903,1.08219,0.539592
606916542969413631,0.965571,0.510345
606916543103631359,0.979447,0.468436
606916543237849087,0.991865,0.610615
606916543372066815,1.06623,0.607613
606916543506284543,1.01509,0.64432
606916543774719999,0.783909,0.18655
606916543908937727,0.800208,0.112511
606916544043155455,0.758944,0.223153
606916544177373183,0.755365,0.155676
606916544311590911,0.855681,0.255844
606916544445808639,0.844734,0.157364
606916544580026367,0.807323,0.226874
606916550217170943,1.07279,0.328643
606916550485606399,0.917286,0.41124
606916550619824127,1.02342,0.333548
606916550754041855,1.17166,0.3437
606916550888259583,1.16203,0.232455
606916551022477311,1.03824,0.455679
606916552364654591,0.829509,0.0326832
606916552633090047,0.783856,0.0395629
606916552767307775,0.839339,0.0149372
606916552901525503,0.83449,0.411434
606916553035743231,0.905195,0.36189
606916553169960959,0.801309,0.075318
606916554512138239,0.819095,0.2968
606916554646355967,0.785912,0.259926
606916554780573695,0.756757,0.355639
606916554914791423,0.775165,0.283405
606916555049009151,0.810265,0.311102
606916555183226879,0.77436,0.281254
606916555317444607,0.727074,0.37589
606916555585880063,0.74002,0.276208
606916555720097791,0.736721,0.142915
606916555854315519,0.802181,0.275894
606916555988533247,0.716828,0.244802
606916556122750975,0.741908,0.258978
606916556256968703,0.700989,0.171649
606916556391186431,0.734458,0.27074
606916556659621887,0.717231,0.364169
606916556793839615,0.730618,0.329283
606916556928057343,0.747182,0.429496
606916557062275071,0.751103,0.378068
606916557196492799,0.720034,0.414648
606916557330710527,0.73903,0.313274
606916557464928255,0.708129,0.450382
606916557733363711,0.792729,0.191221
606916557867581439,0.786785,0.223781
606916558001799167,0.740798,0.282982
606916558136016895,0.748823,0.265117
606916558270234623,0.83416,0.222735
606916558404452351,0.804383,0.200788
606916558538670079,0.779707,0.259122
606916558807105535,0.742232,0.354131
606916558941323263,0.786899,0.308475
606916559075540991,0.727969,0.397442
606916559209758719,0.793313,0.350499
606916559343976447,0.783935,0.291188
606916559478194175,0.814286,0.271185
606916559612411903,0.746804,0.369475
606916559880847359,0.749704,0.236846
606916560015065087,0.740385,0.197959
606916560149282815,0.765554,0.273937
606916560283500543,0.747803,0.246128
606916560417718271,0.752604,0.304233
606916560551935999,0.749679,0.226546
606916560686153727,0.739655,0.278487
606916560954589183,0.694673,0.454394
606916561088806911,0.721532,0.440088
606916561223024639,0.713588,0.476699
606916561357242367,0.718258,0.459413
606916561491460095,0.717507,0.389328
606916561625677823,0.734292,0.383728
606916561759895551,0.710021,0.455249
606916563102072831,0.734306,0.110729
606916563236290559,0.790404,0.0434533
606916563370508287,0.73822,0.0783057
606916563504726015,0.773048,0.0818912
606916563638943743,0.679277,0.0919062
606916563773161471,0.703462,0.0511797
606916563907379199,0.729691,0.104506
606916565249556479,0.740766,0.110158
606916565383774207,0.759712,0.0751822
606916565517991935,0.715074,0.28232
606916565652209663,0.757508,0.141173
606916565786427391,0.733466,0.0904085
606916565920645119,0.766499,0.0807669
606916566054862847,0.74205,0.167415
606916567128604671,0.747901,0.0659081
606916567397040127,0.696496,0.110953
606916567531257855,0.69928,0.0535562
606916567665475583,0.765759,0.0907554
606916567799693311,0.725024,0.0751552
606916567933911039,0.736136,0.0868576
606916568068128767,0.718432,0.0438466
606916568202346495,0.748678,0.0988453
606916568470781951,0.715557,0.00621133
606916568604999679,0.781469,0
606916568739217407,0.733438,0.0121987
606916568873435135,0.75878,0
606916569007652863,0.730665,0.0191181
606916569141870591,0.770263,0.00978012
606916569276088319,0.713198,0.0280113
606916569544523775,0.741277,0.180842
606916569678741503,0.721553,0.0827683
606916569812959231,0.761117,0.273726
606916569947176959,0.756476,0.156636
606916570081394687,0.776625,0.115843
606916570215612415,0.71849,0.112694
606916570349830143,0.729123,0.238654
606916571692007423,1.10628,0.768195
606916571826225151,1.08988,0.745588
606916571960442879,1.09252,0.783727
606916572094660607,1.10324,0.78335
606916572228878335,1.0664,0.819301
606916572363096063,1.08439,0.768983
606916572497313791,1.04481,0.787159
606916572765749247,1.14137,0.732735
606916572899966975,1.13985,0.683463
606916573034184703,1.12798,0.759228
606916573168402431,1.10733,0.749875
606916573302620159,1.10301,0.758204
606916573436837887,1.15609,0.687055
606916573571055615,1.17302,0.78675
606916573839491071,1.00223,0.735774
606916573973708799,1.09073,0.4765
606916574107926527,0.979526,0.500947
606916574242144255,0.998871,0.623536
606916574376361983,1.0275,0.694404
606916574510579711,1.04334,0.762278
606916574644797439,0.997322,0.520446
606916574913232895,1.05697,0.738435
606916575047450623,1.05532,0.74934
606916575181668351,1.03874,0.573733
606916575315886079,0.977382,0.385712
606916575450103807,1.05797,0.694105
606916575584321535,1.09566,0.753581
606916575718539263,1.07368,0.653483
606916575986974719,1.10103,0.82712
606916576121192447,1.20278,0.837321
606916576255410175,1.07135,0.786897
606916576389627903,1.07653,0.749153
606916576523845631,1.09378,0.834116
606916576658063359,1.17639,0.827507
606916576792281087,1.15011,0.837292
606916577060716543,1.12737,0.803092
606916577194934271,1.12396,0.72046
606916577329151999,1.10189,0.826683
606916577463369727,1.10614,0.810002
606916577597587455,1.25274,0.788693
606916577731805183,1.20216,0.758037
606916577866022911,1.15875,0.813375
606916578134458367,1.1012,0.71397
606916578268676095,1.02679,0.691017
606916578402893823,1.18391,0.652409
606916578537111551,1.05936,0.617717
606916578671329279,1.1752,0.795451
606916578805547007,1.11413,0.788432
606916578939764735,1.16996,0.754391
606916580281942015,0.976237,0.529799
606916580416159743,1.01366,0.498976
606916580550377471,1.06281,0.567602
606916580684595199,1.07802,0.503262
606916580818812927,1.00177,0.649731
606916580953030655,1.02799,0.54291
606916581087248383,1.03991,0.625739
606916581355683839,1.1513,0.509283
606916581624119295,1.05605,0.433024
606916581892554751,1.11341,0.610771
606916582026772479,1.23001,0.620477
606916582160990207,1.04762,0.543949
606916582429425663,1.06915,0.53986
606916582563643391,1.13969,0.375738
606916582697861119,1.03151,0.569376
606916582832078847,1.14005,0.458469
606916582966296575,1.03907,0.487469
606916583100514303,1.07966,0.497881
606916583234732031,1.03657,0.523169
606916583503167487,1.17743,0.3365
606916583771602943,1.16551,0.276543
606916583905820671,1.18403,0.241482
606916584040038399,1.09796,0.421173
606916584174256127,1.08743,0.326538
606916584308473855,1.09617,0.394517
606916584576909311,1.09427,0.712287
606916584711127039,1.00607,0.687429
606916584845344767,1.07966,0.616813
606916584979562495,1.0641,0.658938
606916585113780223,1.13014,0.678882
606916585247997951,1.12708,0.673849
606916585382215679,1.141,0.712135
606916585650651135,1.18845,0.698768
606916585784868863,1.26845,0.638562
606916585919086591,1.04729,0.671211
606916586053304319,1.11688,0.625476
606916586187522047,1.25509,0.714306
606916586321739775,1.32016,0.613309
606916586455957503,1.14547,0.756036
606916586724392959,1.0857,0.554803
606916586858610687,1.07612,0.573737
606916586992828415,1.06348,0.639907
606916587127046143,1.08554,0.559293
606916587261263871,1.06801,0.615229
606916587395481599,1.06087,0.606577
606916587529699327,1.1201,0.680137
606916588871876607,0.89966,0.259897
606916589006094335,0.896116,0.31219
606916589140312063,0.823383,0.239811
606916589274529791,0.821427,0.232252
606916589408747519,0.966026,0.323185
606916589542965247,0.945844,0.37488
606916589677182975,0.880585,0.319056
606916589945618431,0.878758,0.374033
606916590079836159,0.877343,0.406949
606916590214053887,0.84111,0.272458
606916590348271615,0.833085,0.233472
606916590482489343,0.952039,0.361799
606916590616707071,0.937401,0.520773
606916590750924799,0.88916,0.367773
606916591019360255,0.762821,0.284212
606916591153577983,0.753401,0.260231
606916591287795711,0.777187,0.328552
606916591422013439,0.76793,0.319539
606916591556231167,0.759978,0.246906
606916591690448895,0.794744,0.214731
606916591824666623,0.765846,0.285375
606916592093102079,0.814808,0.251113
606916592227319807,0.820116,0.246109
606916592361537535,0.7917,0.257916
606916592495755263,0.779402,0.277341
606916592629972991,0.870997,0.247834
606916592764190719,0.799228,0.206338
606916592898408447,0.803911,0.237804
606916593166843903,0.923722,0.548947
606916593301061631,0.990548,0.475586
606916593435279359,0.884069,0.418891
606916593569497087,0.884113,0.450696
606916593703714815,1.04926,0.386238
606916593837932543,1.04887,0.417682
606916593972150271,0.934118,0.531687
606916594240585727,1.0764,0.473434
606916594374803455,1.02456,0.315955
606916594509021183,1.05387,0.421401
606916594643238911,1.00277,0.358518
606916594777456639,1.1777,0.475715
606916594911674367,1.10909,0.434873
606916595045892095,1.06716,0.435046
606916595314327551,0.82265,0.269968
606916595448545279,0.791413,0.25694
606916595582763007,0.764269,0.262227
606916595716980735,0.7841,0.248189
606916595851198463,0.866913,0.330586
606916595985416191,0.8459,0.337364
606916596119633919,0.819857,0.30126
606924152309284863,0.0661796,0
606924152577720319,0.0747192,0
606924152846155775,0.0535806,0
606924152980373503,0.0527523,0
606924153114591231,0.0678635,0
606924154456768511,0.0721888,0
606924154725203967,0.138677,0
606924154993639423,0.0690898,0
606924155262074879,0.0742764,0
606924290016673791,0.0279652,0
606924290285109247,0.0322322,0
606924290553544703,0.0249675,0
606924292164157439,0.044469,0
606924292432592895,0.0287749,0
606924292701028351,0.0496735,0
606925195986337791,0.0225239,0
606925196120555519,0.0354862,0
606925196254773247,0.0252757,0
606925196388990975,0.0211806,0
606925196523208703,0.0170386,0
606925196657426431,0.0220118,0
606925196791644159,0.0253476,0
606925197060079615,0.0237294,0
606925197194297343,0.0330365,0
606925197328515071,0.037273,0
606925197462732799,0.0305093,0
606925197596950527,0.0172939,0
606925197731168255,0.0198994,0
606925197865385983,0.0282474,0
606925198133821439,0.0416171,0
606925198268039167,0.0411852,0
606925198402256895,0.0362685,0
606925198536474623,0.0504885,0
606925198670692351,0.0333185,0
606925198804910079,0.0345433,0
606925198939127807,0.0429006,0
606925199207563263,0.0280668,0
606925199341780991,0.0380868,0
606925199475998719,0.0188418,0
606925199610216447,0.0238152,0
606925199744434175,0.0341845,0
606925199878651903,0.0352887,0
606925200012869631,0.030239,0
606925200281305087,0.025768,0
606925200415522815,0.0309227,0
606925200549740543,0.0216896,0
606925200683958271,0.0206668,0
606925200818175999,0.0226281,0
606925200952393727,0.0288943,0
606925201086611455,0.0199033,0
606925201355046911,0.0162915,0
606925201489264639,0.019155,0
606925201623482367,0.0229543,0
606925201757700095,0.0172676,0
606925201891917823,0.0174969,0
606925202026135551,0.0196367,0
606925202160353279,0.0220745,0
606925202428788735,0.0234668,0
606925202563006463,0.030241,0
606925202697224191,0.0310904,0
606925202831441919,0.0368981,0
606925202965659647,0.0216494,0
606925203099877375,0.0229806,0
606925203234095103,0.0260123,0
606925208871239679,0.0148869,0
606925209005457407,0.0163951,0
